trader_id,trade_id,trade_type,symbol,direction,entry_time,exit_time,entry_price,exit_price,investment,profit,roi,duration_minutes,profile
BTR0001,BTR0001_0001,single,BTCUSDT,long,2026-04-04 10:00:00,2026-04-05 01:59:59.999,67167.0,67085.0,938.12,-1.15,-0.00122,960.0,loss_averse
BTR0001,BTR0001_0002,mirror,BTCUSDT,long,2026-04-13 18:00:00,2026-04-13 19:59:59.999,72424.86,73322.82,1312.65,16.27,0.0124,120.0,loss_averse
BTR0001,BTR0001_0003,single,BTCUSDT,short,2026-04-27 13:00:00,2026-04-27 15:59:59.999,77746.74,76793.09,1457.87,17.88,0.01227,180.0,loss_averse
BTR0001,BTR0001_0004,copy,BTCUSDT,long,2026-04-07 23:00:00,2026-04-08 18:59:59.999,71924.22,71099.63,356.77,-4.09,-0.01146,1200.0,loss_averse
BTR0001,BTR0001_0005,single,BTCUSDT,long,2026-05-01 03:00:00,2026-05-01 12:59:59.999,77131.08,77896.01,507.72,5.04,0.00992,600.0,loss_averse
BTR0001,BTR0001_0006,mirror,BTCUSDT,long,2026-04-19 19:00:00,2026-04-20 14:59:59.999,74965.47,75034.79,612.91,0.57,0.00092,1200.0,loss_averse
BTR0001,BTR0001_0007,single,BTCUSDT,long,2026-04-23 10:00:00,2026-04-23 14:59:59.999,77403.63,78180.77,819.93,8.23,0.01004,300.0,loss_averse
BTR0001,BTR0001_0008,mirror,BTCUSDT,long,2026-05-04 02:00:00,2026-05-04 16:59:59.999,80173.3,80025.03,338.73,-0.63,-0.00185,900.0,loss_averse
BTR0001,BTR0001_0009,single,BTCUSDT,long,2026-04-13 03:00:00,2026-04-13 13:59:59.999,70976.0,71662.65,1231.76,11.92,0.00967,660.0,loss_averse
BTR0001,BTR0001_0010,copy,BTCUSDT,long,2026-04-14 03:00:00,2026-04-14 13:59:59.999,74444.43,75525.94,716.21,10.4,0.01453,660.0,loss_averse
BTR0001,BTR0001_0011,mirror,BTCUSDT,long,2026-05-09 06:00:00,2026-05-09 16:59:59.999,80263.92,80625.01,1373.05,6.18,0.0045,660.0,loss_averse
BTR0001,BTR0001_0012,single,BTCUSDT,long,2026-03-31 01:00:00,2026-03-31 22:59:59.999,67938.54,68172.87,828.1,2.86,0.00345,1320.0,loss_averse
BTR0001,BTR0001_0013,mirror,BTCUSDT,short,2026-04-29 06:00:00,2026-04-29 15:59:59.999,77031.06,75924.25,1185.19,17.03,0.01437,600.0,loss_averse
BTR0001,BTR0001_0014,single,BTCUSDT,long,2026-04-11 05:00:00,2026-04-11 18:59:59.999,72722.28,73547.89,1390.62,15.79,0.01135,840.0,loss_averse
BTR0001,BTR0001_0015,copy,BTCUSDT,short,2026-04-29 05:00:00,2026-04-29 14:59:59.999,77288.38,76570.0,1282.35,11.92,0.00929,600.0,loss_averse
BTR0001,BTR0001_0016,single,BTCUSDT,long,2026-05-02 23:00:00,2026-05-03 16:59:59.999,78686.85,78654.0,1451.36,-0.61,-0.00042,1080.0,loss_averse
BTR0001,BTR0001_0017,single,BTCUSDT,long,2026-04-06 12:00:00,2026-04-06 15:59:59.999,69366.75,69968.87,331.37,2.88,0.00868,240.0,loss_averse
BTR0001,BTR0001_0018,single,BTCUSDT,long,2026-04-05 08:00:00,2026-04-05 20:59:59.999,66933.18,67658.35,510.88,5.54,0.01083,780.0,loss_averse
BTR0001,BTR0001_0019,mirror,BTCUSDT,long,2026-04-16 07:00:00,2026-04-16 17:59:59.999,74707.03,74343.25,1206.25,-5.87,-0.00487,660.0,loss_averse
BTR0001,BTR0001_0020,single,BTCUSDT,long,2026-04-01 16:00:00,2026-04-02 11:59:59.999,68816.34,66220.28,1308.34,-49.36,-0.03772,1200.0,loss_averse
BTR0001,BTR0001_0021,mirror,BTCUSDT,long,2026-04-01 23:00:00,2026-04-02 13:59:59.999,68113.92,66270.87,535.38,-14.49,-0.02706,900.0,loss_averse
BTR0001,BTR0001_0022,single,BTCUSDT,long,2026-05-06 07:00:00,2026-05-06 10:59:59.999,81359.82,82290.04,1342.1,15.34,0.01143,240.0,loss_averse
BTR0001,BTR0001_0023,mirror,BTCUSDT,long,2026-04-19 05:00:00,2026-04-19 15:59:59.999,75545.6,75846.63,1165.1,4.64,0.00398,660.0,loss_averse
BTR0001,BTR0001_0024,single,BTCUSDT,long,2026-05-06 06:00:00,2026-05-06 10:59:59.999,81476.71,82290.04,831.83,8.3,0.00998,300.0,loss_averse
BTR0001,BTR0001_0025,single,BTCUSDT,long,2026-04-19 04:00:00,2026-04-19 14:59:59.999,75664.62,76024.01,144.0,0.68,0.00475,660.0,loss_averse
BTR0001,BTR0001_0026,single,BTCUSDT,long,2026-04-03 23:00:00,2026-04-04 10:59:59.999,66964.3,67167.0,1370.59,4.15,0.00303,720.0,loss_averse
BTR0001,BTR0001_0027,single,BTCUSDT,long,2026-04-07 02:00:00,2026-04-07 20:59:59.999,68674.0,69319.39,420.32,3.95,0.0094,1140.0,loss_averse
BTR0001,BTR0001_0028,mirror,BTCUSDT,short,2026-04-03 13:00:00,2026-04-04 08:59:59.999,66672.0,66940.0,1401.58,-5.63,-0.00402,1200.0,loss_averse
BTR0001,BTR0001_0029,mirror,BTCUSDT,long,2026-04-26 21:00:00,2026-04-27 00:59:59.999,78417.41,79308.6,1225.14,13.92,0.01136,240.0,loss_averse
BTR0001,BTR0001_0030,single,BTCUSDT,short,2026-04-13 18:00:00,2026-04-14 17:59:59.999,72424.86,74748.9,1230.42,-39.48,-0.03209,1440.0,loss_averse
BTR0001,BTR0001_0031,mirror,BTCUSDT,long,2026-04-09 08:00:00,2026-04-09 15:59:59.999,71249.51,72141.99,419.11,5.25,0.01253,480.0,loss_averse
BTR0001,BTR0001_0032,single,BTCUSDT,long,2026-05-01 00:00:00,2026-05-01 03:59:59.999,76458.05,77131.08,109.73,0.97,0.0088,240.0,loss_averse
BTR0001,BTR0001_0033,mirror,BTCUSDT,long,2026-04-28 04:00:00,2026-04-28 12:59:59.999,76888.08,76372.05,267.81,-1.8,-0.00671,540.0,loss_averse
BTR0001,BTR0001_0034,single,BTCUSDT,short,2026-04-15 13:00:00,2026-04-16 12:59:59.999,74063.92,74624.0,826.31,-6.25,-0.00756,1440.0,loss_averse
BTR0001,BTR0001_0035,copy,BTCUSDT,long,2026-04-20 16:00:00,2026-04-20 18:59:59.999,75338.74,76423.69,1447.43,20.84,0.0144,180.0,loss_averse
BTR0001,BTR0001_0036,mirror,BTCUSDT,long,2026-04-04 16:00:00,2026-04-05 04:59:59.999,67366.68,67101.65,498.78,-1.96,-0.00393,780.0,loss_averse
BTR0001,BTR0001_0037,mirror,BTCUSDT,long,2026-04-26 17:00:00,2026-04-26 23:59:59.999,78018.57,78657.55,172.07,1.41,0.00819,420.0,loss_averse
BTR0001,BTR0001_0038,mirror,BTCUSDT,long,2026-04-16 18:00:00,2026-04-17 08:59:59.999,75026.71,75780.38,302.85,3.04,0.01005,900.0,loss_averse
BTR0001,BTR0001_0039,single,BTCUSDT,short,2026-04-17 07:00:00,2026-04-17 21:59:59.999,75074.77,77445.73,1040.99,-32.88,-0.03158,900.0,loss_averse
BTR0001,BTR0001_0040,mirror,BTCUSDT,long,2026-05-01 22:00:00,2026-05-02 11:59:59.999,78153.38,78143.08,614.9,-0.08,-0.00013,840.0,loss_averse
BTR0001,BTR0001_0041,single,BTCUSDT,short,2026-05-07 18:00:00,2026-05-08 02:59:59.999,80200.59,79488.46,226.41,2.01,0.00888,540.0,loss_averse
BTR0001,BTR0001_0042,mirror,BTCUSDT,long,2026-04-13 13:00:00,2026-04-13 14:59:59.999,71662.65,72400.15,157.09,1.62,0.01029,120.0,loss_averse
